,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_dls
5789,29881471,"Flower Apartment Recoleta, 2 bdrms.",212983734,Florencia,Recoleta,-34.589883938232546,-58.40674817042788,Entire home/apt,7961,6,4,2022-09-07,0.09,2,133,2,52.49
5790,29684121,Soler,76371693,Ignacio,Palermo,-34.59267,-58.41558,Entire home/apt,5583,7,15,2021-12-25,0.32,3,50,2,36.81
5791,29882301,Apart & Spa in Recoleta,7579234,Veronica,Recoleta,-34.59399,-58.40417,Entire home/apt,7093,2,86,2022-09-14,1.83,2,321,18,46.77
5792,29684421,Nice studio en Palermo Soho,203764378,Noemi,Palermo,-34.58277,-58.42167,Entire home/apt,5501,2,55,2022-09-20,1.18,2,334,34,36.27
5793,29882781,Departamento en el barrio de Monserrat,15276788,Victoria,Monserrat,-34.61113,-58.37071,Entire home/apt,3000,7,28,2022-08-27,0.6,1,61,5,19.78
5794,29883146,Quartier Dorrego - Luxury Palermo Hollywood,54414387,Martin,Palermo,-34.57711,-58.43946,Entire home/apt,8685,6,65,2022-09-14,1.4,1,277,10,57.26
5795,29685227,Petit Las Cañitas Stylish Studio- Premium location,223364864,Dani,Palermo,-34.56615,-58.43591,Entire home/apt,14475,4,1,2022-04-18,0.19,1,83,1,95.44
5796,29686129,Studio en Recoleta (2),24611504,Andrés,Retiro,-34.59211,-58.38529,Entire home/apt,5790,2,46,2022-09-04,0.99,2,327,17,38.17
5797,29885971,"¡New! Loft Hamilton in ""Mansión Bolívar"" San Telmo",213946765,Louise,Barracas,-34.62696,-58.37309,Entire home/apt,7961,3,27,2022-08-15,0.6,1,331,11,52.49
5798,29700783,Refined flat located in the chicest Recoleta area,946208,Tutto,Recoleta,-34.58902,-58.39002,Entire home/apt,21506,3,52,2022-08-07,1.12,2,75,23,141.79
5799,29701251,Estudios Palermo  Botanico,203764378,Noemi,Palermo,-34.58321,-58.42394,Entire home/apt,6411,2,1,2019-11-29,0.03,2,59,0,42.27
5800,29886318,Duplex muy luminoso en Colegiales,92801095,Macoco,Chacarita,-34.58011,-58.45403,Entire home/apt,4053,5,7,2021-01-24,0.16,1,31,0,26.72
5801,29702721,Terrace to Dam 1 /Art / 24 hour security,105912968,Luciano,Puerto Madero,-34.62041,-58.3648,Entire home/apt,14910,2,26,2022-08-21,0.56,5,224,9,98.31
5802,29703907,UBICACION IDEAL . EXPERIMENTAR  PALERMO EN BS. AS.,173258320,Estela,Palermo,-34.58195,-58.42712,Entire home/apt,3743,30,14,2019-05-21,0.3,1,0,0,24.68
5803,29888222,Chic  Polo field view cozy apt.,224757631,Matthew,Palermo,-34.56822,-58.4298,Entire home/apt,6452,3,2,2019-06-08,0.05,1,0,0,42.54
5804,29705939,Departamento en Palermo/Espacioso y Silencioso,223539720,Felipe,Palermo,-34.58852767944336,-58.414833068847656,Entire home/apt,7961,2,0,0,0.0,1,161,0,52.49
5805,29894280,Práctico apartamento en el Centro para 4 personas,3469227,Federico,San Nicolas,-34.60874,-58.38865,Entire home/apt,7238,5,5,2022-06-22,0.38,132,322,4,47.72
5806,29894326,Habitación Doble Superior Avellaneda Aparts,223855671,Avellaneda Aparts & Suites,Floresta,-34.62853,-58.48366,Private room,30800,1,4,2021-03-29,0.1,10,360,0,203.07
5807,29894755,Hermoso studio para 2 personas con Patio,3469227,Federico,Caballito,-34.61336,-58.43643,Entire home/apt,4777,21,6,2022-03-19,0.16,132,318,2,31.5
